filename,epoch,Iter,local_R_theta
rank0_sigmoid1024_epoch5.log,4,13125,7.167284
rank0_sigmoid1024_epoch5.log,4,13750,7.143403
rank0_sigmoid1024_epoch5.log,4,14375,7.12222
rank0_sigmoid1024_epoch5.log,4,15000,7.101353
rank0_sigmoid1024_epoch5.log,4,15625,7.081692
rank0_sigmoid128_epoch1.log,0,2500,7.892779
rank0_sigmoid128_epoch1.log,0,5000,7.436368
rank0_sigmoid128_epoch1.log,0,7500,7.206715
rank0_sigmoid128_epoch1.log,0,10000,7.077392
rank0_sigmoid128_epoch1.log,0,12500,6.998888
rank0_sigmoid128_epoch1.log,0,15000,6.936313
rank0_sigmoid128_epoch1.log,0,17500,6.887985
rank0_sigmoid128_epoch1.log,0,20000,6.827764
rank0_sigmoid128_epoch1.log,0,22500,6.797519
rank0_sigmoid128_epoch1.log,0,25000,6.747822
rank0_sigmoid2048_epoch1.log,0,155,55.993198
rank0_sigmoid2048_epoch1.log,0,310,28.713759
rank0_sigmoid2048_epoch1.log,0,465,18.879689
rank0_sigmoid2048_epoch1.log,0,620,14.599994
rank0_sigmoid2048_epoch1.log,0,775,12.14126
rank0_sigmoid2048_epoch1.log,0,930,10.648689
rank0_sigmoid2048_epoch1.log,0,1085,9.700943
rank0_sigmoid2048_epoch1.log,0,1240,9.082008
rank0_sigmoid2048_epoch1.log,0,1395,8.695279
rank0_sigmoid2048_epoch1.log,0,1550,8.447404
rank0_sigmoid256_epoch1.log,0,1250,9.024424
rank0_sigmoid256_epoch1.log,0,2500,7.897214
rank0_sigmoid256_epoch1.log,0,3750,7.62206
rank0_sigmoid256_epoch1.log,0,5000,7.434857
rank0_sigmoid256_epoch1.log,0,6250,7.305014
rank0_sigmoid256_epoch1.log,0,7500,7.211433
rank0_sigmoid256_epoch1.log,0,8750,7.139275
rank0_sigmoid256_epoch1.log,0,10000,7.078464
rank0_sigmoid256_epoch1.log,0,11250,7.040309
rank0_sigmoid256_epoch1.log,0,12500,7.000861
rank0_sigmoid512_epoch1.log,0,625,14.405994
rank0_sigmoid512_epoch1.log,0,1250,9.084574
rank0_sigmoid512_epoch1.log,0,1875,8.146286
rank0_sigmoid512_epoch1.log,0,2500,7.890289
rank0_sigmoid512_epoch1.log,0,3125,7.738173
rank0_sigmoid512_epoch1.log,0,3750,7.622881
rank0_sigmoid512_epoch1.log,0,4375,7.52305
rank0_sigmoid512_epoch1.log,0,5000,7.437747
rank0_sigmoid512_epoch1.log,0,5625,7.36972
rank0_sigmoid512_epoch1.log,0,6250,7.307833
rank0_tanh1024_epoch1.log,0,310,14.369267
rank0_tanh1024_epoch1.log,0,620,9.300999
rank0_tanh1024_epoch1.log,0,930,8.41493
rank0_tanh1024_epoch1.log,0,1240,7.973158
rank0_tanh1024_epoch1.log,0,1550,7.690742
rank0_tanh1024_epoch1.log,0,1860,7.490883
rank0_tanh1024_epoch1.log,0,2170,7.34237
rank0_tanh1024_epoch1.log,0,2480,7.226897
rank0_tanh1024_epoch1.log,0,2790,7.137718
rank0_tanh1024_epoch1.log,0,3100,7.059811
rank0_tanh1024_epoch5.log,0,310,14.369267
rank0_tanh1024_epoch5.log,0,620,9.300999
rank0_tanh1024_epoch5.log,0,930,8.41493
rank0_tanh1024_epoch5.log,0,1240,7.973158
rank0_tanh1024_epoch5.log,0,1550,7.690742
rank0_tanh1024_epoch5.log,0,1860,7.490883
rank0_tanh1024_epoch5.log,0,2170,7.34237
rank0_tanh1024_epoch5.log,0,2480,7.226897
rank0_tanh1024_epoch5.log,0,2790,7.137718
rank0_tanh1024_epoch5.log,0,3100,7.059811
rank0_tanh1024_epoch5.log,1,3410,11.344856
rank0_tanh1024_epoch5.log,1,3720,8.362355
rank0_tanh1024_epoch5.log,1,4030,7.790143
rank0_tanh1024_epoch5.log,1,4340,7.523061
rank0_tanh1024_epoch5.log,1,4650,7.376298
rank0_tanh1024_epoch5.log,1,4960,7.261387
rank0_tanh1024_epoch5.log,1,5270,7.178921
rank0_tanh1024_epoch5.log,1,5580,7.127111
rank0_tanh1024_epoch5.log,1,5890,7.068781
rank0_tanh1024_epoch5.log,1,6200,7.019587
rank0_tanh1024_epoch5.log,2,6510,6.973128
rank0_tanh1024_epoch5.log,2,6820,6.938547
rank0_tanh1024_epoch5.log,2,7130,6.909951
rank0_tanh1024_epoch5.log,2,7440,6.876785
rank0_tanh1024_epoch5.log,2,7750,6.847427
rank0_tanh1024_epoch5.log,2,8060,6.815769
rank0_tanh1024_epoch5.log,2,8370,6.796902
rank0_tanh1024_epoch5.log,2,8680,6.769107
rank0_tanh1024_epoch5.log,2,8990,6.746954
rank0_tanh1024_epoch5.log,2,9300,6.723383
rank0_tanh1024_epoch5.log,3,9610,6.710053
rank0_tanh1024_epoch5.log,3,9920,6.68902
rank0_tanh1024_epoch5.log,3,10230,6.666036
rank0_tanh1024_epoch5.log,3,10540,6.649221
rank0_tanh1024_epoch5.log,3,10850,6.629415
rank0_tanh1024_epoch5.log,3,11160,6.615071
rank0_tanh1024_epoch5.log,3,11470,6.598372
rank0_tanh1024_epoch5.log,3,11780,6.576979
rank0_tanh1024_epoch5.log,3,12090,6.55631
rank0_tanh1024_epoch5.log,3,12400,6.537595
rank0_tanh1024_epoch5.log,4,12710,6.522113
rank0_tanh1024_epoch5.log,4,13020,6.51887
rank0_tanh1024_epoch5.log,4,13330,6.489529
rank0_tanh1024_epoch5.log,4,13640,6.475566
rank0_tanh1024_epoch5.log,4,13950,6.452221
rank0_tanh1024_epoch5.log,4,14260,6.433915
rank0_tanh1024_epoch5.log,4,14570,6.421205
rank0_tanh1024_epoch5.log,4,14880,6.403359
rank0_tanh1024_epoch5.log,4,15190,6.390747
rank0_tanh1024_epoch5.log,4,15500,6.371776
rank0_tanh1024_epoch5.log,4,15810,6.351754
rank0_tanh128_epoch1.log,0,2500,7.241943
rank0_tanh128_epoch1.log,0,5000,6.81156
rank0_tanh128_epoch1.log,0,7500,6.618623
rank0_tanh128_epoch1.log,0,10000,6.47629
rank0_tanh128_epoch1.log,0,12500,6.374783
rank0_tanh128_epoch1.log,0,15000,6.290373
rank0_tanh128_epoch1.log,0,17500,6.198604
rank0_tanh128_epoch1.log,0,20000,6.097445
rank0_tanh128_epoch1.log,0,22500,6.048784
rank0_tanh128_epoch1.log,0,25000,5.94604
rank0_tanh2048_epoch1.log,0,155,28.044501
rank0_tanh2048_epoch1.log,0,310,14.529504
rank0_tanh2048_epoch1.log,0,465,10.494851
rank0_tanh2048_epoch1.log,0,620,9.286831
rank0_tanh2048_epoch1.log,0,775,8.750734
rank0_tanh2048_epoch1.log,0,930,8.422045
rank0_tanh2048_epoch1.log,0,1085,8.172559
rank0_tanh2048_epoch1.log,0,1240,7.976838
rank0_tanh2048_epoch1.log,0,1395,7.820432
rank0_tanh2048_epoch1.log,0,1550,7.687968
rank0_tanh256_epoch1.log,0,1250,7.971805
rank0_tanh256_epoch1.log,0,2500,7.241351
rank0_tanh256_epoch1.log,0,3750,6.953178
rank0_tanh256_epoch1.log,0,5000,6.798663
rank0_tanh256_epoch1.log,0,6250,6.700521
rank0_tanh256_epoch1.log,0,7500,6.623967
rank0_tanh256_epoch1.log,0,8750,6.56117
rank0_tanh256_epoch1.log,0,10000,6.500212
rank0_tanh256_epoch1.log,0,11250,6.465428
rank0_tanh256_epoch1.log,0,12500,6.399879
rank0_tanh512_epoch1.log,0,625,9.238426
rank0_tanh512_epoch1.log,0,1250,7.965447
rank0_tanh512_epoch1.log,0,1875,7.477964
rank0_tanh512_epoch1.log,0,2500,7.223578
rank0_tanh512_epoch1.log,0,3125,7.06191
rank0_tanh512_epoch1.log,0,3750,6.943251
rank0_tanh512_epoch1.log,0,4375,6.860284
rank0_tanh512_epoch1.log,0,5000,6.792619
rank0_tanh512_epoch1.log,0,5625,6.745985
rank0_tanh512_epoch1.log,0,6250,6.691301
